trial,score,best_score,sharpe,best_sharpe,ann_return,ann_vol,max_dd,calmar,profit_factor,avg_turnover,avg_positions,n_trade_days,elapsed_min,error,N_PCA_FACTORS,OU_WINDOW,ENTRY_THRESHOLD,LONG_EXIT_THRESHOLD,SHORT_EXIT_THRESHOLD,KAPPA_MIN,DELTA_A,OBS_VAR_SCALE
29,0.32256295256446454,0.8089556220394695,0.3987248867484135,0.8669806629729631,0.04103185432310035,0.10290768318404599,-0.14334013691575498,0.28625516345931723,1.0759885881221842,0.08983731452142893,60.286813186813184,1815,34.103428383668266,,6,140,1.75,0.1,0.25,10,0.9977473151476235,0.6723092135861669
30,0.12674853261793456,0.8089556220394695,0.2289226955285397,0.8669806629729631,0.021937688234495458,0.09583011498202675,-0.19382143073524727,0.11318504951323731,1.0397776981995361,0.10526895085962999,49.06043956043956,1806,35.583995989958446,,11,140,2.0,0.25,0.25,12,0.9936292404871665,0.5359274284881198
31,0.34428430676043503,0.8089556220394695,0.4144504894643517,0.8669806629729631,0.03366967146551254,0.08123930920923327,-0.1318767751043758,0.25531160766453526,1.0735186593140476,0.08455590303457519,61.30384615384615,1809,37.27626042763392,,12,140,1.75,0.1,0.25,14,0.9979141129921751,0.6775427008019899
32,0.11550531306269082,0.8089556220394695,0.2322122097214151,0.8669806629729631,0.029667111923157942,0.12775862198955673,-0.22353896044299482,0.13271562086700953,1.0456229207868186,0.09874832874453736,47.36758241758242,1813,38.43025015592575,,6,160,2.0,0.25,0.25,16,0.9942164354762244,0.7722595186195718
33,0.19152191751783965,0.8089556220394695,0.28478120715343735,0.8669806629729631,0.029696492708389415,0.10427827385530125,-0.17295555604989254,0.1717001372296063,1.0532611144979394,0.13563023221302875,61.604395604395606,1816,39.60419828097026,,6,160,1.25,0.7,0.25,20,0.9962007170774075,1.0580572593831463
34,0.6079315372923011,0.8089556220394695,0.6670494366516982,0.8669806629729631,0.05770209104968561,0.08650347017655143,-0.10910270245041709,0.5288786597738855,1.1201424317649944,0.09133096268377039,55.88021978021978,1805,41.067076023419695,,10,140,2.0,0.7,0.25,8,0.9985723053100419,0.7221464971048731
35,0.6081043477628912,0.8089556220394695,0.6899073872539664,0.8669806629729631,0.06566850737765319,0.09518452562021852,-0.15613683550810586,0.42058305565084925,1.1286099388579074,0.0746924347404452,50.620879120879124,1803,42.66230955123901,,10,160,2.25,0.25,0.1,12,0.9976308723135341,0.9599572978787689
36,0.5240351105505399,0.8089556220394695,0.5999291098785006,0.8669806629729631,0.06647789836404402,0.11080958944883892,-0.14109008569594927,0.4711734211240373,1.1202242552710888,0.10697912959972089,50.246153846153845,1814,43.96780834595362,,8,160,2.0,0.9999999999999999,0.4,20,0.9982259265032087,1.3622884009098861
37,0.652236169134982,0.8089556220394695,0.7326178317613028,0.8669806629729631,0.0782179295772297,0.1067649819404262,-0.15215011327313221,0.5140839391740498,1.1446400431491208,0.08613211979509458,48.37802197802198,1803,45.47656166156133,,9,160,2.25,0.5499999999999999,0.25,20,0.9980282971896068,0.6079698310203525
38,0.6579500455900258,0.8089556220394695,0.7304626585713088,0.8669806629729631,0.0755156254200183,0.10338054181676744,-0.137328918791622,0.5498887349037023,1.151306010889434,0.07696307170943982,61.097802197802196,1815,46.774271102746326,,7,160,1.75,0.1,0.1,18,0.998881755474529,0.7801206657997085
39,0.3806909031008857,0.8089556220394695,0.4540247116746125,0.8669806629729631,0.04936787448535925,0.10873389314707588,-0.13405851888349574,0.3682561533315362,1.0864555699973237,0.12609098263957869,53.99395604395605,1815,47.991643102963764,,6,140,1.75,0.85,0.7,20,0.998428884253256,0.8836849524836183
40,0.4864815053830519,0.8089556220394695,0.5651322874354114,0.8669806629729631,0.05865530571737085,0.10379039920644159,-0.14569594304525435,0.40258708987629144,1.113270379713768,0.11605621059464771,57.3,1815,49.70083612600963,,10,160,1.5,0.5499999999999999,0.1,20,0.9949526571099744,1.039175121760143
